nlist,nprobe,training_samples,training_iterations,training_seed,top_k,average_ms,qps,run_p50_ms,run_p99_ms,run_samples,batch_p50_ms,batch_p99_ms,batch_latency_samples,recall_at_k,min_query_recall,mean_absolute_score_error,max_absolute_score_error,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,100000,15,0,50,137.089,7294.52,137.215,139.576,100,8.49632,8.70291,1600,0.86248,0.7,0.112961036,3.3332901,349.347,219.744959,51.002369,500.886726,1.43383,129.996,0.649493
256,160,100000,15,0,50,178.399,5605.41,178.397,180.654,100,11.18,11.4261,1600,0.92482,0.8,0.0581850285,3.1734657,328.392,175.771099,48.182274,502.066414,1.73579,171.117,0.716433
256,192,100000,15,0,50,223.565,4472.96,223.664,226.713,100,14.0604,14.5124,1600,0.9658,0.82,0.0254461265,2.0794105,310.692,176.079546,48.196609,503.246101,2.00779,215.991,0.727207
256,224,100000,15,0,50,273.458,3656.87,273.591,276.441,100,17.2885,17.7533,1600,0.99054,0.92,0.00710551607,2.0794105,313.004,177.229013,49.465343,504.425789,2.27946,265.604,0.743718
