implementation,backend,index_type,metric,num_vectors,num_queries,dim,dtype,cpu_threads,top_k,batch_size,nlist,nprobe,train_samples,build_ms,load_ms,gpu_transfer_ms,gpu_index_mib,gpu_temp_mib,average_query_ms,qps,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,training_iterations,training_seed,run_samples,batch_latency_samples,mean_absolute_score_error,max_absolute_score_error
faiss-1.14.1,cpu,flat,inner_product,1000000,1000,128,fp32,1,10,64,0,0,0,0.0,325.0962197780609,0.0,0.0,0.0,13079.959641397,76.45283528513971,834.8349779844284,846.3362380862236,1.0,1.0,0,0,20,320,2.16458e-06,1.15e-05
faiss-1.14.1,cpu,flat,inner_product,1000000,1000,128,fp32,1,50,64,0,0,0,0.0,325.0962197780609,0.0,0.0,0.0,13080.880285799503,76.44745446417637,835.1001441478729,847.1395075321198,1.0,1.0,0,0,20,320,1.95558e-06,1.33e-05
faiss-1.14.1,cpu,flat,inner_product,1000000,1000,128,fp32,1,100,64,0,0,0,0.0,325.0962197780609,0.0,0.0,0.0,13596.499814093113,73.54834065186945,867.8400814533234,881.017416715622,1.0,1.0,0,0,20,320,1.886558e-06,1.33e-05
