nlist,nprobe,training_samples,training_iterations,training_seed,top_k,average_ms,qps,run_p50_ms,run_p99_ms,run_samples,batch_p50_ms,batch_p99_ms,batch_latency_samples,recall_at_k,min_query_recall,mean_absolute_score_error,max_absolute_score_error,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,100000,15,0,100,164.37,6083.83,164.701,166.278,100,10.2194,10.4293,1600,0.85191,0.7,0.12903364,3.3332901,353.542,222.296557,51.038208,505.610847,1.42848,156.251,1.33227
256,160,100000,15,0,100,211.3,4732.6,211.196,213.17,100,13.2468,13.5739,1600,0.91758,0.83,0.0674477586,3.1734657,348.273,177.593285,49.840225,507.96241,1.71171,202.791,1.36999
256,192,100000,15,0,100,262.99,3802.43,263.133,264.838,100,16.5511,16.997,1600,0.96228,0.9,0.0296574624,2.0794105,349.271,184.404243,50.77504,510.313972,1.99681,254.169,1.38832
256,224,100000,15,0,100,315.231,3172.27,315.293,317.578,100,19.943,20.4702,1600,0.9892,0.93,0.0082608675,2.0794105,345.818,177.716485,49.881088,512.665535,2.27418,306.111,1.42648
