implementation,backend,index_type,metric,num_vectors,num_queries,dim,dtype,cpu_threads,top_k,batch_size,nlist,nprobe,train_samples,build_ms,load_ms,gpu_transfer_ms,gpu_index_mib,gpu_temp_mib,average_query_ms,qps,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,10,64,0,0,0,0.0,285.8908995985985,241.17807298898697,492.095947265625,1536.0,48.58236759901047,20583.599553109638,3.072679042816162,3.2324790954589844,1.0,1.0
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,50,64,0,0,0,0.0,285.8908995985985,241.17807298898697,492.095947265625,1536.0,48.51717799901962,20611.25649188019,3.0357763171195984,3.1501129269599915,1.0,1.0
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,100,64,0,0,0,0.0,285.8908995985985,241.17807298898697,492.095947265625,1536.0,50.23513734340668,19906.385308833025,3.1277909874916077,3.754034638404846,1.0,1.0
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,128,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,145.5121487379074,6872.278422615924,9.345516562461853,10.649532079696655,0.8795000000000001,0.5
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,128,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,90.37265181541443,11065.294421618762,5.753464996814728,5.99844753742218,0.85972,0.68
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,128,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,101.29805654287338,9871.857705155084,6.404206156730652,9.461544454097748,0.8490999999999999,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,160,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,210.255828499794,4756.110720616621,13.41235637664795,19.407659769058228,0.9369000000000001,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,160,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,114.66595083475113,8720.98467522528,7.035769522190094,11.133134365081787,0.92312,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,160,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,126.64697766304016,7895.96418684876,8.061528205871582,8.296430110931396,0.9163399999999999,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,192,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,267.04441756010056,3744.69539238708,17.224609851837158,19.959919154644012,0.9722000000000001,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,192,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,134.86263751983643,7414.952120100082,8.609533309936523,8.816443383693695,0.96408,0.84
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,192,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,152.62544453144073,6551.987468865329,9.692922234535217,12.389101088047028,0.96127,0.88
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,224,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,327.8968617320061,3049.7394659949864,20.965807139873505,22.999733686447144,0.993,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,224,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,152.5898739695549,6553.5148171072115,9.715430438518524,9.946219623088837,0.9898800000000001,0.92
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,224,100000,0.0,286.5690514445305,414.5883098244667,497.984375,1536.0,177.9081165790558,5620.879020185889,11.339344084262848,11.475272476673126,0.9887900000000001,0.95
