policy,target_mass,temperature,min_nprobe,max_nprobe,step,actual_nprobe_min,actual_nprobe_average,actual_nprobe_max,average_ms,qps,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,center_ms,scan_ms,merge_ms,gpu_buffer_mib
score_mass,0.9,0.2,64,224,16,112.0,133.648,160.0,165.603,6038.55,10.3261,10.5847,0.86194,0.72,2.61127,156.707,1.27728,512.720467
score_mass,0.93,0.2,64,224,16,128.0,151.632,176.0,184.14,5430.65,11.4747,11.8041,0.8999299999999999,0.77,2.65982,175.136,1.30286,512.720467
score_mass,0.95,0.2,64,224,16,144.0,166.736,192.0,201.136,4971.77,12.5503,13.6421,0.9265399999999999,0.83,2.69391,192.094,1.3114,512.720467
score_mass,0.97,0.2,64,224,16,160.0,186.096,208.0,225.922,4426.3,14.1753,14.9012,0.95353,0.87,2.73035,216.811,1.32234,512.720467
score_mass,0.99,0.2,64,224,16,208.0,210.128,224.0,247.336,4043.08,15.4013,16.8479,0.97889,0.92,2.83173,238.087,1.37412,512.720467
