policy,target_mass,temperature,min_nprobe,max_nprobe,step,actual_nprobe_min,actual_nprobe_average,actual_nprobe_max,average_ms,qps,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,center_ms,scan_ms,merge_ms,gpu_buffer_mib
score_mass,0.8,0.2,64,224,16,80.0,92.72,112.0,85.1168,11748.6,5.18259,5.38298,0.7753,0.3,2.61823,77.8633,0.178816,497.888924
score_mass,0.85,0.2,64,224,16,96.0,110.544,144.0,101.222,9879.26,6.22883,6.37872,0.8275,0.3,2.62646,93.9646,0.178214,497.888924
score_mass,0.9,0.2,64,224,16,112.0,133.648,160.0,121.367,8239.49,7.51754,7.72566,0.8837,0.4,2.69535,114.027,0.179782,497.888924
score_mass,0.93,0.2,64,224,16,128.0,151.632,176.0,137.663,7264.12,8.53437,8.85264,0.9201,0.5,2.73062,130.283,0.182208,497.888924
score_mass,0.95,0.2,64,224,16,144.0,166.736,192.0,150.562,6641.78,9.35613,9.99891,0.9416,0.6,2.77469,143.094,0.182662,497.888924
score_mass,0.97,0.2,64,224,16,160.0,186.096,208.0,168.812,5923.76,10.529,10.9825,0.9653999999999999,0.7,2.83329,161.33,0.186131,497.888924
score_mass,0.99,0.2,64,224,16,208.0,210.128,224.0,188.458,5306.22,11.7034,12.3358,0.986,0.8,2.92934,180.494,0.189094,497.888924
