nlist,nprobe,top_k,average_ms,qps,recall_at_k,min_query_recall,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,10,163.146,6129.47,0.8716,0.4,497.10743,1.38557,157.214,0.174054
256,160,10,208.906,4786.85,0.9332,0.5,497.349617,1.65597,202.667,0.176768
256,192,10,254.128,3935.02,0.9708,0.7,497.591805,1.94223,247.62,0.181888
256,224,10,302.84,3302.07,0.9929,0.8,497.833992,2.19123,296.028,0.182029
