nlist,nprobe,top_k,average_ms,qps,recall_at_k,min_query_recall,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,50,204.712,4884.91,0.85764,0.68,500.886726,1.39819,198.059,0.638522
256,160,50,258.077,3874.82,0.9224399999999999,0.8,502.066414,1.67948,250.966,0.702528
256,192,50,315.27,3171.89,0.96362,0.86,503.246101,1.94605,307.915,0.705555
256,224,50,378.974,2638.7,0.99036,0.92,504.425789,2.21338,371.29,0.725606
