implementation,backend,index_type,metric,num_vectors,num_queries,dim,dtype,cpu_threads,top_k,batch_size,nlist,nprobe,train_samples,build_ms,load_ms,gpu_transfer_ms,average_query_ms,qps,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,10,64,0,0,0,0.0,306.81489408016205,243.20194125175476,48.33947420120239,20687.026835205543,3.070421516895294,3.1209364533424377,1.0,1.0
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,50,64,0,0,0,0.0,306.81489408016205,243.20194125175476,48.48332405090332,20625.648500298495,3.0353665351867676,3.0637606978416443,1.0,1.0
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,100,64,0,0,0,0.0,306.81489408016205,243.20194125175476,50.514741241931915,19796.20157234236,3.131583333015442,4.262790083885193,1.0,1.0
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,128,100000,0.0,301.6926869750023,408.60651433467865,147.6534053683281,6772.617248518276,9.405627846717834,11.32049411535263,0.8795000000000001,0.5
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,128,100000,0.0,301.6926869750023,408.60651433467865,91.0657986998558,10981.07098687955,5.769222974777222,7.686242461204529,0.85972,0.68
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,128,100000,0.0,301.6926869750023,408.60651433467865,102.06692963838577,9797.492719168811,6.41188770532608,11.775985360145569,0.8490999999999999,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,160,100000,0.0,301.6926869750023,408.60651433467865,209.44822281599045,4774.449678088433,13.43446969985962,18.21625977754593,0.9369000000000001,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,160,100000,0.0,301.6926869750023,408.60651433467865,114.03494030237198,8769.242105519825,7.04357773065567,12.079395353794098,0.92312,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,160,100000,0.0,301.6926869750023,408.60651433467865,128.0077800154686,7812.025174400798,8.069895207881927,13.705261051654816,0.9163399999999999,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,192,100000,0.0,301.6926869750023,408.60651433467865,265.83249419927597,3761.7673603527574,17.10372418165207,18.838346004486084,0.9722000000000001,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,192,100000,0.0,301.6926869750023,408.60651433467865,136.0035389661789,7352.749844610133,8.596211671829224,14.135561883449554,0.96408,0.84
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,192,100000,0.0,301.6926869750023,408.60651433467865,152.1145612001419,6573.9926020906605,9.69243049621582,9.861893951892853,0.96127,0.88
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,224,100000,0.0,301.6926869750023,408.60651433467865,327.99044251441956,3048.8693278190162,21.03523164987564,23.185282945632935,0.993,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,224,100000,0.0,301.6926869750023,408.60651433467865,152.65787541866302,6550.5955539962015,9.729109704494476,9.92652028799057,0.9898800000000001,0.92
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,224,100000,0.0,301.6926869750023,408.60651433467865,178.12331765890121,5614.088111220557,11.344507336616516,11.540621519088745,0.9887900000000001,0.95
