nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,10,114.492,8734.26,114.611,114.852,7.06685,7.2783,0.8716,0.4,313.585,201.295587,49.244289,497.10743,1.40868,108.51,0.177389
256,160,10,142.813,7002.15,142.858,142.944,8.85901,9.36838,0.9332,0.5,342.995,182.53147,50.336769,497.349617,1.67885,136.636,0.178406
256,192,10,172.767,5788.13,171.995,177.516,10.7552,11.4112,0.9708,0.7,339.737,177.759528,49.464321,497.591805,1.9772,166.288,0.182464
256,224,10,199.941,5001.48,197.428,204.982,12.4952,13.2546,0.9929,0.8,349.578,187.077321,52.121601,497.833992,2.284,192.958,0.186739
