nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,50,124.917,8005.3,124.63,126.174,3.83552,4.02794,0.85764,0.68,313.973,198.869566,48.350239,498.462166,2.72706,115.871,1.23165
256,160,50,149.803,6675.43,149.619,151.027,4.64115,4.85293,0.9224399999999999,0.8,314.481,185.112281,53.036034,499.05201,3.31795,140.0,1.36364
256,192,50,192.869,5184.87,191.486,196.276,5.99981,6.26022,0.96362,0.86,306.071,172.908014,49.908737,499.641853,3.85896,182.466,1.3929
256,224,50,215.971,4630.24,213.406,220.59,6.712,7.03693,0.99036,0.92,304.8,180.173094,49.196033,500.231697,4.48155,204.91,1.44743
