nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,50,124.367,8040.72,124.425,124.588,7.71194,7.91891,0.85764,0.68,321.321,174.418505,49.756161,500.886726,1.39822,117.718,0.63879
256,160,50,155.774,6419.56,155.123,158.704,9.6673,10.2908,0.9224399999999999,0.8,316.876,181.233274,48.408577,502.066414,1.68376,148.768,0.707846
256,192,50,198.084,5048.36,196.159,202.343,12.3866,13.1108,0.96362,0.86,309.553,172.6877,49.701889,503.246101,1.95297,190.765,0.710074
256,224,50,246.481,4057.12,247.034,249.947,15.5024,15.9968,0.99036,0.92,308.338,177.079955,50.042881,504.425789,2.20839,238.829,0.722426
