nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,100,145.736,6861.72,145.666,146.163,9.03696,9.2657,0.84957,0.73,312.923,177.967054,50.384895,505.610847,1.38316,138.097,1.2993
256,160,100,186.157,5371.81,184.604,191.066,11.5385,12.1275,0.9162899999999999,0.83,320.683,194.827955,65.00045,507.96241,1.67551,178.317,1.34738
256,192,100,226.505,4414.92,225.136,230.609,14.1054,14.7119,0.96109,0.9,347.076,186.380337,48.910336,510.313972,1.95592,218.348,1.36909
256,224,100,266.671,3749.94,265.185,271.297,16.6592,17.4817,0.98901,0.94,338.758,179.058335,50.358273,512.665535,2.23116,258.1,1.40443
