nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,134,100,158.268,6318.4,158.068,158.738,9.8616,10.0134,0.86378,0.74,344.942,208.431089,48.417759,506.051765,1.41524,150.679,1.26942
256,152,100,176.19,5675.69,176.228,176.272,10.988,11.2054,0.90179,0.8,344.017,177.436624,50.082817,507.374519,1.5794,168.389,1.29674
256,167,100,189.8,5268.7,190.014,190.136,11.8462,12.0964,0.92743,0.84,344.508,187.914744,50.082817,508.476814,1.71052,181.834,1.30818
256,186,100,217.75,4592.41,217.776,218.191,13.6669,13.929,0.9538099999999999,0.88,336.696,181.442069,49.500095,509.873055,1.8641,209.622,1.32333
256,210,100,241.183,4146.22,239.757,244.452,15.0537,15.7287,0.97908,0.92,344.602,178.693661,50.06739,511.636726,2.09754,232.831,1.3568
