nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,50,204.374,4892.99,202.363,208.238,12.7027,13.2948,0.85764,0.68,330.555,173.378368,47.857822,500.886726,1.39581,197.712,0.635014
256,160,50,257.772,3879.4,256.8,261.436,16.1263,17.0315,0.9224399999999999,0.8,334.215,177.807709,49.944576,502.066414,1.67325,250.726,0.701837
256,192,50,315.139,3173.2,313.446,319.739,19.7917,21.9328,0.96362,0.86,331.813,175.237001,48.2304,503.246101,1.94225,307.562,0.706618
256,224,50,377.72,2647.47,377.203,379.404,23.8011,24.621,0.99036,0.92,334.021,177.086034,49.295296,504.425789,2.21521,370.053,0.726291
