implementation,backend,index_type,metric,num_vectors,num_queries,dim,dtype,cpu_threads,top_k,batch_size,nlist,nprobe,train_samples,build_ms,load_ms,gpu_transfer_ms,average_query_ms,qps,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,10,64,0,0,0,0.0,282.5198844075203,244.08532679080963,48.60575199127197,20573.69671349942,3.0652806162834167,3.078766167163849,1.0,1.0
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,50,64,0,0,0,0.0,282.5198844075203,244.08532679080963,48.42245727777481,20651.574831560338,3.0355453491210938,3.049500286579132,1.0,1.0
faiss-1.14.1,gpu,flat,inner_product,1000000,1000,128,fp32,1,100,64,0,0,0,0.0,282.5198844075203,244.08532679080963,50.34593939781189,19862.575054930083,3.135010600090027,4.179045557975769,1.0,1.0
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,128,100000,0.0,297.7650985121727,769.0969333052635,147.0141589641571,6802.065916955698,9.391851723194122,12.21979409456253,0.8795000000000001,0.5
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,128,100000,0.0,297.7650985121727,769.0969333052635,90.75252562761307,11018.977081732392,5.763053894042969,6.491273641586304,0.85972,0.68
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,128,100000,0.0,297.7650985121727,769.0969333052635,102.74720638990402,9732.624712006384,6.406337022781372,16.36991649866104,0.8490999999999999,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,160,100000,0.0,297.7650985121727,769.0969333052635,210.92544347047806,4741.0117221821265,13.606108725070953,14.795109629631042,0.9369000000000001,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,160,100000,0.0,297.7650985121727,769.0969333052635,114.68802243471146,8719.306330085783,7.03873485326767,12.096747756004333,0.92312,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,160,100000,0.0,297.7650985121727,769.0969333052635,128.31582576036453,7793.270970858606,8.082374930381775,14.721490442752838,0.9163399999999999,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,192,100000,0.0,297.7650985121727,769.0969333052635,266.3765713572502,3754.0839079982475,17.110303044319153,19.420921802520752,0.9722000000000001,0.7
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,192,100000,0.0,297.7650985121727,769.0969333052635,134.9662497639656,7409.259735295604,8.605390787124634,9.006954729557037,0.96408,0.84
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,192,100000,0.0,297.7650985121727,769.0969333052635,152.0623043179512,6576.2517836706775,9.698398411273956,9.813271462917328,0.96127,0.88
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,10,64,256,224,100000,0.0,297.7650985121727,769.0969333052635,327.7781292796135,3050.844185967462,21.011285483837128,23.136727511882782,0.993,0.8
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,50,64,256,224,100000,0.0,297.7650985121727,769.0969333052635,154.548217356205,6470.472562586635,9.722404181957245,19.09337192773819,0.9898800000000001,0.92
faiss-1.14.1,gpu,ivf_flat,inner_product,1000000,1000,128,fp32,1,100,64,256,224,100000,0.0,297.7650985121727,769.0969333052635,178.02205979824066,5617.281370260174,11.34926825761795,11.463411152362823,0.9887900000000001,0.95
