nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,93,10,83.1175,12031.2,83.2045,83.3808,5.05821,5.22131,0.7783,0.3,312.033,216.239709,50.641918,496.842537,1.10461,77.4891,0.172749
256,111,10,100.201,9979.94,100.283,100.514,6.16221,6.3735,0.8274,0.4,307.664,213.145584,49.911808,496.978767,1.25535,94.4129,0.175782
256,134,10,120.456,8301.77,120.33,120.927,7.4625,7.63642,0.8841,0.4,309.589,178.642062,50.307072,497.15284,1.45938,114.445,0.176813
256,152,10,137.41,7277.47,137.476,137.653,8.54922,8.78115,0.9212,0.5,306.14,178.288343,50.642944,497.28907,1.60839,131.26,0.178214
256,167,10,149.536,6687.33,149.459,150.496,9.30378,9.62016,0.9424,0.5,309.172,178.600067,50.193409,497.402596,1.75187,143.246,0.182848
256,186,10,168.075,5949.74,167.111,171.99,10.4939,11.012,0.9652999999999999,0.7,306.003,182.767851,49.24416,497.546394,1.92886,161.6,0.18425
256,210,10,187.992,5319.39,187.114,192.062,11.6859,12.2507,0.9863,0.8,308.577,182.787988,50.119743,497.728035,2.1658,180.956,0.187187
