nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,128,100,255.924,3907.4,255.738,259.037,16.0383,16.4815,0.84957,0.73,333.052,180.812547,54.655998,505.610847,1.40155,248.179,1.31416
256,160,100,321.41,3111.29,320.81,324.92,20.2298,20.6631,0.9162899999999999,0.83,336.804,180.254384,49.406975,507.96241,1.68063,313.259,1.34637
256,192,100,389.844,2565.13,391.768,392.87,24.5921,25.0963,0.96109,0.9,331.437,175.987579,47.669247,510.313972,1.96227,381.331,1.37202
256,224,100,456.191,2192.07,455.981,459.528,28.8079,30.7119,0.98901,0.94,331.743,175.22775,48.033791,512.665535,2.23484,447.087,1.40794
