nlist,nprobe,top_k,average_ms,qps,run_p50_ms,run_p99_ms,batch_p50_ms,batch_p99_ms,recall_at_k,min_query_recall,index_load_ms,gpu_initialization_ms,index_h2d_ms,gpu_buffer_mib,center_ms,scan_ms,merge_ms
256,134,50,131.16,7624.27,129.903,133.805,4.01434,4.20758,0.87142,0.72,322.803,204.905654,48.527359,498.572762,2.90965,121.589,1.24021
256,152,50,143.03,6991.56,143.109,143.371,4.4273,4.52742,0.90874,0.76,341.521,175.386222,48.854015,498.904549,3.19151,133.51,1.25125
256,167,50,156.838,6376.02,156.572,157.382,4.88458,4.98432,0.9325800000000001,0.8,338.704,175.705726,48.726082,499.181038,3.46049,146.904,1.36697
256,186,50,189.449,5278.46,189.428,189.518,5.92461,6.01203,0.95666,0.86,341.27,178.056469,49.153023,499.531258,3.70864,179.291,1.36316
256,210,50,202.336,4942.26,202.292,202.526,6.32573,6.4479,0.9809399999999999,0.9,339.97,175.408315,48.654335,499.97364,4.17606,191.626,1.38848
